street_address,street_number,street_name,suburb,postcode,full_address,council,latitude,longitude,socio_economic_status,remoteness_level,validation_source
317 King Street,317,King Street,ADELAIDE,5000,"317 King Street, Pennington South Australia 5013, Australia",CITY OF ADELAIDE,-34.858919,138.536472,4,Major Cities of Australia,mapbox_api
813 Pulteney Street,813,Pulteney Street,ADELAIDE,5000,"813 Pulteney Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.934638,138.606464,4,Major Cities of Australia,mapbox_api
36 Prospect Road,36,Prospect Road,ADELAIDE,5000,"36 Prospect Road, Prospect South Australia 5082, Australia",CITY OF ADELAIDE,-34.894015,138.594131,4,Major Cities of Australia,mapbox_api
493 Henley Beach Road,493,Henley Beach Road,ADELAIDE,5000,"493 Henley Beach Road, Fulham South Australia 5024, Australia",CITY OF ADELAIDE,-34.926753,138.519651,4,Major Cities of Australia,mapbox_api
35 Pirie Street,35,Pirie Street,ADELAIDE,5000,"35 Pirie Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.92607,138.601434,4,Major Cities of Australia,mapbox_api
483 Magill Road,483,Magill Road,ADELAIDE,5000,"483 Magill Road, Tranmere South Australia 5073, Australia",CITY OF ADELAIDE,-34.913472,138.662012,4,Major Cities of Australia,mapbox_api
229 Currie Street,229,Currie Street,ADELAIDE,5000,"229 Currie Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.924644,138.595504,4,Major Cities of Australia,mapbox_api
103 Pirie Street,103,Pirie Street,ADELAIDE,5000,"103 Pirie Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.925625,138.60247,4,Major Cities of Australia,mapbox_api
19 Waymouth Street,19,Waymouth Street,ADELAIDE,5000,"19 Waymouth Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.925809,138.598909,4,Major Cities of Australia,mapbox_api
242 Elizabeth Street,242,Elizabeth Street,MURRAY BRIDGE,5253,"242 Elizabeth Street, Murray Bridge South Australia 5253, Australia",THE RURAL CITY OF MURRAY BRIDGE,-35.118184,139.263291,2,Inner Regional Australia,mapbox_api
990 Pulteney Street,990,Pulteney Street,ADELAIDE,5000,"990 Pulteney Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.935372,138.606516,4,Major Cities of Australia,mapbox_api
873 Uley Road,873,Unley Road,ADELAIDE,5000,"873 Uley Road, Craigmore South Australia 5114, Australia",CITY OF ADELAIDE,-34.698379,138.713159,4,Major Cities of Australia,mapbox_api
231 Wellington Square,231,Wellington Square,ADELAIDE,5000,"231 Wellington Square, North Adelaide South Australia 5006, Australia",CITY OF ADELAIDE,-34.907148,138.590658,4,Major Cities of Australia,mapbox_api
957 Lower North East Road,957,Lower North East Road,ADELAIDE,5000,"957 Lower North East Road, Dernancourt South Australia 5075, Australia",CITY OF ADELAIDE,-34.860623,138.684421,4,Major Cities of Australia,mapbox_api
378 Wellington Square,378,Wellington Square,ADELAIDE,5000,"378 Wellington Square, North Adelaide South Australia 5006, Australia",CITY OF ADELAIDE,-34.90627,138.591206,4,Major Cities of Australia,mapbox_api
937 Franklin Street,937,Franklin Street,ADELAIDE,5000,"937 Franklin Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.927729,138.588352,4,Major Cities of Australia,mapbox_api
Whitmore Square,361,Whitmore Square,ADELAIDE,5000,"Whitmore Square, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.932853,138.593504,4,Major Cities of Australia,mapbox_api
867 Henley Beach Road,867,Henley Beach Road,ADELAIDE,5000,"867 Henley Beach Road, Fulham South Australia 5024, Australia",CITY OF ADELAIDE,-34.926593,138.514486,4,Major Cities of Australia,mapbox_api
